792,1,4,1312297826
792,2,4,1311085612
792,3,4,1315956530
792,4,4,1320714884
792,5,5,1304683641
792,6,5,1296118875
792,7,4,1297997414
792,8,4,1323716834
792,9,3,1322946193
792,13,5,1302406030
792,14,5,1303162733
792,17,5,1320033507
792,18,5,1308553947
792,19,4,1313166023
792,20,2,1298933558
792,21,5,1302551863
792,22,5,1296103862
792,23,4,1317248896
792,26,5,1298236981
792,27,5,1306703367
474,1,5,1311024597
474,2,5,1306304632
474,3,5,1310143995
474,4,5,1313110089
474,5,5,1323793698
474,6,5,1321328669
474,7,5,1296118256
474,8,5,1313006977
474,9,5,1299094434
474,14,5,1308893279
474,15,5,1309525397
474,17,5,1296846545
474,18,1,1302826270
474,19,1,1304363864
474,20,1,1301552029
474,21,1,1297417591
474,22,5,1320123134
474,23,5,1308759517
474,24,5,1297979086
474,25,5,1318184954
474,26,5,1295219474
474,27,1,1297905136
831,1,5,1307236530
831,2,3,1315988532
831,3,5,1317107568
831,4,5,1322636014
831,5,5,1300950260
831,6,5,1294129036
831,7,5,1313990883
831,8,5,1300107382
831,9,5,1308292869
831,10,5,1308827068
831,11,3,1294791081
831,12,5,1300253696
831,13,3,1325003644
831,14,4,1305036028
831,15,4,1323992539
831,16,2,1315515388
831,17,5,1311916606
831,18,3,1321103098
831,19,2,1318656316
831,20,1,1300886800
831,21,1,1322061362
831,22,5,1315944696
831,23,5,1307527560
831,24,5,1311224129
831,25,3,1320010234
831,26,5,1320912935
831,27,2,1306020086
204,1,4,1293925444
204,2,4,1321896436
204,3,4,1305892101
204,4,3,1307957344
204,5,4,1304864845
204,6,3,1324158945
204,7,3,1309366147
204,8,4,1295021229
204,9,4,1310349308
204,10,3,1300261946
204,11,4,1318799897
204,12,4,1322015158
204,13,3,1304028247
204,14,2,1323400005
204,15,4,1296195272
204,16,3,1302559321
204,17,4,1314679276
204,20,4,1296336276
204,22,5,1304721412
204,23,5,1324249748
204,24,4,1323288970
204,25,5,1313783665
204,26,5,1322365332
204,27,5,1301468828
62,1,5,1296955316
62,3,5,1319225995
62,4,5,1319720603
62,5,5,1297695750
62,6,5,1324722948
62,8,5,1319875141
62,12,4,1321409015
62,13,5,1325276840
62,14,5,1294078785
62,19,5,1317533214
62,20,1,1305853562
62,22,5,1320772713
62,23,5,1302595577
62,26,5,1314525536
479,1,4,1296780441
479,6,5,1320108153
479,8,5,1305410309
479,12,5,1306493266
479,17,4,1318525933
479,18,4,1309380585
479,20,4,1295665407
479,23,5,1300812000
224,1,4,1321809486
224,3,5,1301457845
224,4,3,1304826903
224,5,5,1300244322
224,6,5,1314324478
224,8,4,1319560687
224,9,4,1308423788
224,13,5,1297714120
224,14,3,1317718921
224,15,4,1297376502
224,16,4,1323625657
224,17,4,1302861704
224,20,3,1320910304
224,21,5,1324814696
224,22,4,1312128785
224,23,5,1294053302
224,24,5,1300389373
224,25,5,1316787730
224,26,5,1309246787
686,1,4,1309540105
686,3,4,1308744077
686,4,5,1324008189
686,5,4,1322663835
686,6,4,1296788990
686,12,3,1306484896
686,14,4,1314498407
686,22,4,1322176783
686,23,4,1303722409
686,25,4,1310302079
686,26,4,1310083753
519,3,3,1318381674
519,4,4,1311846917
519,6,3,1316124452
519,7,3,1298526446
519,12,4,1324427787
519,14,4,1297780070
519,17,3,1312872224
519,18,3,1321418796
519,23,5,1311016179
519,24,4,1297016914
519,25,3,1319447390
519,26,4,1319419944
253,1,5,1305236708
253,2,4,1302255361
253,3,4,1312224449
253,4,5,1308099180
253,5,3,1321771855
253,6,5,1294672689
253,7,4,1322201697
253,8,2,1305452358
253,9,3,1299292577
253,10,5,1320374960
253,11,3,1316905843
253,12,3,1311476088
253,13,5,1314058899
253,14,5,1304741521
253,15,5,1299779807
253,16,4,1297898804
253,17,4,1303698988
253,18,3,1311580424
253,19,3,1312096298
253,20,1,1318311063
253,21,3,1314381573
253,22,4,1316300634
253,23,5,1295278635
253,24,1,1302223971
253,25,1,1312684363
253,26,5,1311567675
253,27,5,1306690876
263,1,5,1320353860
263,2,4,1306433629
263,3,4,1323070582
263,4,3,1307654559
263,5,5,1325063016
263,6,5,1309278733
263,7,5,1322338027
263,8,4,1309378488
263,9,3,1310980077
263,10,2,1305615399
263,11,2,1317979601
263,12,5,1318564436
263,13,3,1307123774
263,14,2,1310035203
263,15,2,1307610555
263,16,2,1310741818
263,17,5,1294485058
263,20,5,1300416872
263,23,5,1316723469
263,24,4,1300563152
263,26,5,1321968501
263,27,5,1301794849
616,3,3,1296097508
616,5,5,1307438817
616,6,4,1318373244
616,7,4,1315544448
616,8,3,1304097044
616,23,5,1314042129
331,1,5,1305903605
331,4,4,1298773883
331,5,5,1317238866
331,6,5,1307858281
331,8,4,1315969138
331,9,5,1316076197
331,16,4,1303165114
331,17,4,1313081943
331,20,3,1303076315
331,22,5,1297575286
331,23,4,1322535623
355,6,5,1300553138
355,12,3,1324579366
355,13,5,1296667566
355,17,5,1302004674
355,20,3,1299414447
450,1,2,1320862636
450,4,4,1318248508
450,6,4,1317384229
450,12,4,1294211198
450,13,5,1312974937
450,14,5,1313368737
450,20,4,1297659298
450,22,5,1303544573
